"Type","Level","Offset","Size","Field Type","Field Name","Elt Type","Comment"
"activity_entry","0","0x0","0x18","struct-type","activity_entry","",""
"activity_entry","1","0x0","0x4","int32_t","id","",""
"activity_entry","1","0x4","0x2","int16_t","is_individual","",""
"activity_entry","1","0x8","0xc","stl-vector","events","activity_event*",""
"activity_entry","1","0x14","0x4","int32_t","unk2","",""
"activity_event","0","0x0","0x4c","class-type","activity_event","",""
"activity_event","1","0x0","0x4","pointer","_vtable","activity_event::vtable",""
"activity_event","1","0x4","0x4","int32_t","event_id","","mostly, but not always, the index in activity.events"
"activity_event","1","0x8","0x4","int32_t","activity_id","",""
"activity_event","1","0xc","0x4","int32_t","subevent_id","","-1 unless subevent"
"activity_event","1","0x10","0x4","int32_t","num_subevents","","0 for ind.drill, 2 for all in training session"
"activity_event","1","0x14","0xc","stl-vector","hist_figure_ids","int32_t",""
"activity_event","1","0x20","0xc","stl-vector","participant_ids","int32_t",""
"activity_event","1","0x2c","0xc","stl-vector","hist_figure_ids2","int32_t",""
"activity_event","1","0x38","0xc","stl-vector","participant_ids2","int32_t",""
"activity_event","1","0x44","0x4","int32_t","activity_id2","",""
"activity_event","1","0x48","0x4","int32_t","event_id2","",""
"activity_event::vtable","1","0x0","0x4","vmethod","getType","",""
"activity_event::vtable","1","0x4","0x4","vmethod","write_file","",""
"activity_event::vtable","1","0x8","0x4","vmethod","read_file","",""
"activity_event::vtable","1","0xc","0x8","vmethod","~activity_event","",""
"activity_event::vtable","1","0x14","0x4","vmethod","vmethod4","",""
"activity_event::vtable","1","0x18","0x4","vmethod","vmethod5","",""
"activity_event::vtable","1","0x1c","0x4","vmethod","vmethod6","",""
"activity_event::vtable","1","0x20","0x4","vmethod","getHistFigVector","",""
"activity_event::vtable","1","0x24","0x4","vmethod","vmethod8","",""
"activity_event::vtable","1","0x28","0x4","vmethod","vmethod9","",""
"activity_event::vtable","1","0x2c","0x4","vmethod","vmethod10","",""
"activity_event::vtable","1","0x30","0x4","vmethod","vmethod11","",""
"activity_event::vtable","1","0x34","0x4","vmethod","vmethod12","",""
"activity_event::vtable","1","0x38","0x4","vmethod","vmethod13","",""
"activity_event::vtable","1","0x3c","0x4","vmethod","setSkillDemoUnk5","",""
"activity_event::vtable","1","0x40","0x4","vmethod","setSkillDemoUnk789","",""
"activity_event::vtable","1","0x44","0x4","vmethod","adjustUnkA","",""
"activity_event::vtable","1","0x48","0x4","vmethod","getOrganizer","",""
"activity_event::vtable","1","0x4c","0x4","vmethod","getBuilding","int32_t*",""
"activity_event::vtable","1","0x50","0x4","vmethod","vmethod19","",""
"activity_event::vtable","1","0x54","0x4","vmethod","vmethod20","",""
"activity_event::vtable","1","0x58","0x4","vmethod","getName","",""
"activity_event_combat_trainingst","0","0x0","0x5c","class-type","activity_event_combat_trainingst","",""
"activity_event_combat_trainingst","1","0x0","0x4c","activity_event","","",""
"activity_event_combat_trainingst","1","0x4c","0x4","int32_t","building_id","",""
"activity_event_combat_trainingst","1","0x50","0x4","int32_t","hist_figure_id","",""
"activity_event_combat_trainingst","1","0x54","0x4","int32_t","unit_id","",""
"activity_event_combat_trainingst","1","0x58","0x4","int32_t","unk5","",""
"activity_event_individual_skill_drillst","0","0x0","0x54","class-type","activity_event_individual_skill_drillst","",""
"activity_event_individual_skill_drillst","1","0x0","0x4c","activity_event","","",""
"activity_event_individual_skill_drillst","1","0x4c","0x4","int32_t","building_id","",""
"activity_event_individual_skill_drillst","1","0x50","0x4","int32_t","unk5","",""
"activity_event_ranged_practicest","0","0x0","0x54","class-type","activity_event_ranged_practicest","",""
"activity_event_ranged_practicest","1","0x0","0x4c","activity_event","","",""
"activity_event_ranged_practicest","1","0x4c","0x4","int32_t","","",""
"activity_event_ranged_practicest","1","0x50","0x4","int32_t","","",""
"activity_event_skill_demonstrationst","0","0x0","0x6c","class-type","activity_event_skill_demonstrationst","",""
"activity_event_skill_demonstrationst","1","0x0","0x4c","activity_event","","",""
"activity_event_skill_demonstrationst","1","0x4c","0x4","int32_t","building_id","",""
"activity_event_skill_demonstrationst","1","0x50","0x4","int32_t","hist_figure_id","",""
"activity_event_skill_demonstrationst","1","0x54","0x4","int32_t","unit_id","",""
"activity_event_skill_demonstrationst","1","0x58","0x2","int16_t","unk5","",""
