"Global","Level","Address","Size","Field Type","Field Name","Elt Type","Comment"
"cursor","0","0x8eaa590","0xc","compound","cursor","",""
"cursor","1","0x8eaa590","0x4","int32_t","cursor.x","",""
"cursor","1","0x8eaa594","0x4","int32_t","cursor.y","",""
"cursor","1","0x8eaa598","0x4","int32_t","cursor.z","",""
"selection_rect","0","0x8eaa5a0","0x18","compound","selection_rect","",""
"selection_rect","1","0x8eaa5a0","0x4","int32_t","selection_rect.start_x","",""
"selection_rect","1","0x8eaa5a4","0x4","int32_t","selection_rect.start_y","",""
"selection_rect","1","0x8eaa5a8","0x4","int32_t","selection_rect.start_z","",""
"selection_rect","1","0x8eaa5ac","0x4","int32_t","selection_rect.end_x","","only valid for an instant while its being completed"
"selection_rect","1","0x8eaa5b0","0x4","int32_t","selection_rect.end_y","",""
"selection_rect","1","0x8eaa5b4","0x4","int32_t","selection_rect.end_z","",""
"control_mode","0","0x8eaa5c0","0x4","int32_t","control_mode","",""
"game_mode","0","0x8eaa5d0","0x4","int32_t","game_mode","",""
"ui_menu_width","0","0x8eaa681","0x1","int8_t","ui_menu_width","",""
"ui_area_map_width","0","0x8eaa682","0x1","int8_t","ui_area_map_width","",""
"gps","0","0x8eaa740","0x37c","struct-type","gps","",""
"gps","1","0x8eaa740","0x4","int32_t","gps.screenx","",""
"gps","1","0x8eaa744","0x4","int32_t","gps.screeny","",""
"gps","1","0x8eaa748","0x1","int8_t","gps.screenf","",""
"gps","1","0x8eaa749","0x1","int8_t","gps.screenb","",""
"gps","1","0x8eaa74a","0x1","int8_t","gps.screenbright","",""
"gps","1","0x8eaa74c","0x4","pointer","gps.screen","uint8_t",""
"gps","1","0x8eaa750","0x4","pointer","gps.screentexpos","int32_t",""
"gps","1","0x8eaa754","0x4","pointer","gps.screentexpos_addcolor","int8_t",""
"gps","1","0x8eaa758","0x4","pointer","gps.screentexpos_grayscale","uint8_t",""
"gps","1","0x8eaa75c","0x4","pointer","gps.screentexpos_cf","uint8_t",""
"gps","1","0x8eaa760","0x4","pointer","gps.screentexpos_cbr","uint8_t",""
"gps","1","0x8eaa764","0x8","static-array","gps.clipx","int32_t",""
"gps","1","0x8eaa76c","0x8","static-array","gps.clipy","int32_t",""
"gps","1","0x8eaa774","0x4","static-array","gps.tex_pos","int32_t",""
"gps","1","0x8eaa778","0x4","int32_t","gps.rect_id","",""
"gps","1","0x8eaa77c","0x320","static-array","gps.print_time","int64_t",""
"gps","1","0x8eaaa9c","0x4","int32_t","gps.print_index","",""
"gps","1","0x8eaaaa0","0x1","int8_t","gps.display_frames","",""
"gps","1","0x8eaaaa2","0x2","int16_t","gps.force_full_display_count","",""
"gps","1","0x8eaaaa4","0x1","int8_t","gps.original_rect","",""
"gps","1","0x8eaaaa8","0x4","int32_t","gps.dimx","",""
"gps","1","0x8eaaaac","0x4","int32_t","gps.dimy","",""
"gps","1","0x8eaaab0","0x4","int32_t","gps.mouse_x","",""
"gps","1","0x8eaaab4","0x4","int32_t","gps.mouse_y","",""
